transaction_id,product_id,transaction_qty,unit_price
1,32,2,3.0
2,57,2,3.1
3,59,2,4.5
4,22,1,2.0
5,57,2,3.1
5,77,1,3.0
6,22,1,2.0
7,28,2,2.0
8,39,1,4.25
9,58,2,3.5
10,56,1,2.55
11,33,2,3.5
12,51,1,3.0
13,57,1,3.1
14,87,2,3.0
15,47,2,3.0
15,79,1,3.75
16,42,1,2.5
17,59,2,4.5
18,61,1,4.75
19,33,2,3.5
20,56,2,2.55
20,69,1,3.25
21,56,1,2.55
22,40,1,3.75
23,43,1,3.0
23,76,1,3.5
24,45,2,3.0
24,71,1,3.75
25,40,2,3.75
26,38,1,3.75
27,26,1,3.0
28,27,2,3.5
29,29,2,2.5
30,54,1,2.5
31,26,1,3.0
32,55,1,4.0
33,40,2,3.75
34,45,1,3.0
35,45,2,3.0
36,24,1,3.0
37,60,2,3.75
37,78,1,4.5
38,56,1,2.55
38,77,1,3.0
39,44,1,2.5
40,56,2,2.55
41,48,1,2.5
42,23,1,2.5
43,46,1,2.5
44,32,1,3.0
45,47,2,3.0
46,43,2,3.0
47,25,2,2.2
48,59,1,4.5
49,38,1,3.75
50,45,1,3.0
51,34,1,2.45
52,36,2,3.75
52,74,1,3.5
53,53,1,3.0
54,41,2,4.25
55,41,1,4.25
56,45,2,3.0
56,79,1,3.75
57,54,2,2.5
58,24,1,3.0
59,37,2,3.0
60,40,2,3.75
61,37,2,3.0
61,69,1,3.25
62,50,1,2.5
63,47,1,3.0
64,40,2,3.75
64,72,1,3.25
65,35,1,3.1
66,23,1,2.5
67,43,2,3.0
68,22,1,2.0
69,32,2,3.0
70,36,2,3.75
71,26,1,3.0
71,71,1,3.75
72,32,2,3.0
73,54,1,2.5
74,41,2,4.25
75,25,2,2.2
76,23,2,2.5
77,54,1,2.5
78,56,2,2.55
79,58,2,3.5
79,74,1,3.5
80,47,2,3.0
81,35,1,3.1
81,70,1,3.25
82,60,1,3.75
83,59,1,4.5
84,36,2,3.75
85,51,2,3.0
86,61,2,4.75
87,47,1,3.0
88,23,2,2.5
88,73,1,3.75
89,38,1,3.75
89,76,1,3.5
90,22,1,2.0
91,38,1,3.75
91,75,1,3.5
92,47,2,3.0
92,75,1,3.5
93,39,2,4.25
94,59,1,4.5
95,51,2,3.0
96,59,1,4.5
97,47,1,3.0
97,79,1,3.75
98,46,1,2.5
99,43,1,3.0
100,45,2,3.0
101,54,2,2.5
102,51,2,3.0
103,60,1,3.75
104,31,1,2.2
105,60,2,3.75
105,77,1,3.0
106,49,2,3.0
107,40,2,3.75
108,44,2,2.5
109,33,2,3.5
110,56,2,2.55
111,35,2,3.1
111,78,1,4.5
112,23,1,2.5
113,24,1,3.0
114,51,2,3.0
114,72,1,3.25
115,54,2,2.5
115,75,1,3.5
116,60,1,3.75
116,71,1,3.75
