transaction_id,product_id,transaction_quantity,price_per_unit
78147,54,1,2.5
78148,31,1,2.2
78149,57,1,3.1
78150,32,1,3.0
78151,33,2,3.5
78151,76,1,3.5
78152,55,1,4.0
78153,53,1,3.0
78153,69,1,3.25
78154,45,1,3.0
78155,58,2,3.5
78155,70,1,3.25
78156,58,1,3.5
78156,70,1,3.25
78157,41,1,4.25
78157,65,1,0.8
78157,73,1,3.75
78158,61,1,4.75
78159,39,2,4.25
78159,63,2,0.8
78159,5,1,15.0
78160,51,1,3.0
78161,26,2,3.0
78162,56,2,2.55
78163,61,1,4.75
78164,42,2,2.5
78165,49,2,3.0
78166,25,2,2.2
78167,38,2,3.75
78167,72,1,3.25
78168,44,2,2.5
78169,49,1,3.0
78170,56,1,2.55
78171,55,1,4.0
78172,49,1,3.0
78172,79,1,3.75
78173,48,2,2.5
78173,69,1,3.25
78174,27,2,3.5
78175,46,1,2.5
78176,26,2,3.0
78177,29,1,2.5
78178,55,2,4.0
78179,34,2,2.45
78180,47,2,3.0
78181,41,2,4.25
78181,79,1,3.75
78182,41,1,4.25
78182,64,1,0.8
78182,71,1,3.75
78183,55,2,4.0
78183,79,1,3.75
78184,47,1,3.0
78185,58,1,3.5
78186,22,1,2.0
78186,74,1,3.5
78187,53,2,3.0
78187,71,1,3.75
78187,46,2,2.5
78187,74,1,3.5
78188,87,2,3.0
78189,33,1,3.5
78190,27,1,3.5
78191,32,2,3.0
78192,29,2,2.5
78193,45,1,3.0
78193,78,1,4.5
78194,33,1,3.5
78194,71,1,3.75
78195,32,1,3.0
78196,32,2,3.0
78196,70,1,3.25
78197,28,1,2.0
78198,40,1,3.75
78199,59,2,4.5
78199,3,1,14.75
78200,40,2,3.75
78201,58,2,3.5
78201,71,1,3.75
78202,31,1,2.2
78203,32,1,3.0
78204,55,2,4.0
78204,57,2,3.1
78205,48,2,2.5
78206,30,1,3.0
78206,13,1,8.95
78207,26,2,3.0
78207,74,1,3.5
78208,55,2,4.0
78209,59,2,4.5
78210,27,2,3.5
78211,32,2,3.0
78212,47,2,3.0
78213,22,1,2.0
78213,69,1,3.25
78214,35,2,3.1
78215,87,2,3.0
78215,76,1,3.5
78216,52,2,2.5
78217,54,1,2.5
78218,61,1,4.75
78219,87,2,3.0
78219,79,1,3.75
78220,37,1,3.0
78220,64,1,0.8
78221,52,1,2.5
78221,78,1,4.5
78222,32,1,3.0
78223,38,1,3.75
78223,84,2,0.8
78224,37,2,3.0
78224,84,2,0.8
78225,41,2,4.25
78225,63,2,0.8
78226,61,2,4.75
78227,37,1,3.0
78227,64,1,0.8
78228,39,2,4.25
78228,84,2,0.8
78228,79,1,3.75
78229,23,2,2.5
78230,44,1,2.5
78231,34,2,2.45
78232,23,1,2.5
78233,87,2,3.0
78234,24,1,3.0
78235,50,2,2.5
78235,71,1,3.75
78236,38,1,3.75
78236,84,1,0.8
78237,42,1,2.5
78238,55,1,4.0
78239,36,1,3.75
78239,71,1,3.75
78240,25,1,2.2
78241,23,2,2.5
78242,39,1,4.25
78242,84,1,0.8
78243,34,2,2.45
78244,33,2,3.5
78245,44,2,2.5
78246,56,2,2.55
78247,26,1,3.0
78247,69,1,3.25
